ItemNumber,NestID,Length_mm,AssignedBeam_mm,BeamIndex,WasteOnBeam_mm,OldWaste_mm
00256,all,1704,13000,230,1,2924
UA12-0028-S,all,11285,13000,231,0,1715
00107,all,1709,13000,231,0,7426
UA12-0024-S,all,11285,13000,232,0,1715
00383,all,1709,13000,232,0,1
UA12-0030-S,all,11283,13000,233,0,1717
00801,all,1711,13000,233,0,3191
UA12-0034-S,all,11280,13000,234,0,1720
00612,all,1714,13000,234,0,129
00059,all,11279,13000,235,0,
00364,all,1715,13000,235,0,129
00068,all,11279,13000,236,0,28
00638,all,1715,13000,236,0,
UD11-0027-P,all,11279,13000,237,0,111
00279,all,1715,13000,237,0,
UD11-0028-P,all,11278,13000,238,0,1722
03947,all,1716,13000,238,0,
00473,all,11277,13000,239,0,654
00035,all,1717,13000,239,0,2385
UB24-0048-P,all,11277,13000,240,0,1723
01292,all,1717,13000,240,0,8350
UB24-0009-P,all,11277,13000,241,0,1723
00559,all,1717,13000,241,0,
UB24-0008-P,all,11277,13000,242,1,1723
00320,all,1716,13000,242,1,29
UB24-0007-P,all,11277,13000,243,2,1723
00988,all,1715,13000,243,2,11873
UB24-0006-P,all,11277,13000,244,3,1723
00167,all,1714,13000,244,3,3158
UB24-0054-S,all,11277,13000,245,7,1723
02622,all,1710,13000,245,7,4465
UB24-0023-S,all,11277,13000,246,7,1723
01101,all,1710,13000,246,7,5612
UB24-0022-S,all,11277,13000,247,7,1723
01993,all,1710,13000,247,7,4020
UB24-0021-S,all,11277,13000,248,7,1723
02564,all,1710,13000,248,7,7
UB24-0020-S,all,11277,13000,249,7,1723
00744,all,1710,13000,249,7,10
UA12-0021-S,all,11277,13000,250,7,1723
00746,all,1710,13000,250,7,3079
01660,all,11276,13000,251,0,
02270,all,1718,13000,251,0,
01582,all,11276,13000,252,0,
03871,all,1718,13000,252,0,6
00497,all,11276,13000,253,0,4989
03870,all,1718,13000,253,0,5419
01652,all,11276,13000,254,0,23
01651,all,1718,13000,254,0,2887
01629,all,11276,13000,255,18,
00017,all,1700,13000,255,18,4
01627,all,11276,13000,256,18,6404
00155,all,1700,13000,256,18,137
00044,all,11276,13000,257,18,13
00587,all,1700,13000,257,18,1083
00043,all,11276,13000,258,18,4920
00547,all,1700,13000,258,18,11
00042,all,11276,13000,259,18,26
01957,all,1700,13000,259,18,11
00040,all,11276,13000,260,18,1733
UA12-8868-S,all,1700,13000,260,18,4
00007,all,11276,13000,261,19,2498
00407,all,1699,13000,261,19,33
00006,all,11276,13000,262,20,2801
00580,all,1698,13000,262,20,
UD11-0061-S,all,11276,13000,263,20,1724
02562,all,1698,13000,263,20,24
UD11-0029-P,all,11276,13000,264,20,1724
03004,all,1698,13000,264,20,1066
UA12-0032-S,all,11276,13000,265,20,1724
03002,all,1698,13000,265,20,4995
01520,all,11275,13000,266,0,
00261,all,1719,13000,266,0,1025
00073,all,11275,13000,267,0,2559
00444,all,1719,13000,267,0,2398
00072,all,11275,13000,268,0,4
00553,all,1719,13000,268,0,
00071,all,11275,13000,269,0,4
00315,all,1719,13000,269,0,
00070,all,11275,13000,270,0,4
00362,all,1719,13000,270,0,
00069,all,11275,13000,271,21,4
03006,all,1698,13000,271,21,884
00067,all,11275,13000,272,22,2
01552,all,1697,13000,272,22,5668
00066,all,11275,13000,273,22,2
01575,all,1697,13000,273,22,
00065,all,11275,13000,274,22,3
02270,all,1697,13000,274,22,
00064,all,11275,13000,275,22,
UA12-8869-S,all,1697,13000,275,22,4
00063,all,11275,13000,276,24,2866
03553,all,1695,13000,276,24,792
01594,all,11275,13000,277,24,
01338,all,1695,13000,277,24,47
01592,all,11275,13000,278,24,5512
00008,all,1695,13000,278,24,2896
00536,all,11275,13000,279,38,5199
01265,all,1681,13000,279,38,6248
01616,all,11275,13000,280,39,
03305,all,1680,13000,280,39,
01614,all,11275,13000,281,39,1500
02478,all,1680,13000,281,39,
01612,all,11275,13000,282,39,
01118,all,1680,13000,282,39,400
01226,all,11275,13000,283,39,80
00376,all,1680,13000,283,39,37
00023,all,11275,13000,284,39,4473
02068,all,1680,13000,284,39,
00022,all,11275,13000,285,39,
00896,all,1680,13000,285,39,7
01290,all,11275,13000,286,39,54
00370,all,1680,13000,286,39,8
00041,all,11275,13000,287,40,26
00367,all,1679,13000,287,40,
01086,all,11275,13000,288,40,54
01735,all,1679,13000,288,40,2538
01085,all,11275,13000,289,40,54
01506,all,1679,13000,289,40,45
01084,all,11275,13000,290,40,1921
02164,all,1679,13000,290,40,50
00013,all,11275,13000,291,41,2467
00479,all,1678,13000,291,41,129
00012,all,11275,13000,292,41,2467
01116,all,1678,13000,292,41,484
01101,all,11275,13000,293,41,5612
00424,all,1678,13000,293,41,
01100,all,11275,13000,294,41,233
02318,all,1678,13000,294,41,730
01099,all,11275,13000,295,41,295
02873,all,1678,13000,295,41,1665
00021,all,11275,13000,296,41,2621
00981,all,1678,13000,296,41,32
00020,all,11275,13000,297,41,2820
01764,all,1678,13000,297,41,12196
00024,all,11275,13000,298,41,2439
00792,all,1678,13000,298,41,2651
00023,all,11275,13000,299,41,4473
00407,all,1678,13000,299,41,33
00014,all,11275,13000,300,41,198
00619,all,1678,13000,300,41,578
00013,all,11275,13000,301,41,2467
00790,all,1678,13000,301,41,
UD12-0016-S,all,11275,13000,302,41,1725
03000,all,1678,13000,302,41,181
UD12-0015-S,all,11275,13000,303,42,1725
00424,all,1677,13000,303,42,
UD12-0014-S,all,11275,13000,304,42,1725
00377,all,1677,13000,304,42,803
UD12-0013-S,all,11275,13000,305,42,1725
04310,all,1677,13000,305,42,4775
UD12-0012-S,all,11275,13000,306,43,1725
01087,all,1676,13000,306,43,243
UD12-0006-P,all,11275,13000,307,43,1725
00147,all,1676,13000,307,43,7278
UD12-0005-P,all,11275,13000,308,43,1725
00133,all,1676,13000,308,43,2168
UD12-0004-P,all,11275,13000,309,43,1725
00765,all,1676,13000,309,43,36
UD12-0003-P,all,11275,13000,310,43,1725
01372,all,1676,13000,310,43,2356
UD12-0002-P,all,11275,13000,311,43,1725
01376,all,1676,13000,311,43,
UD11-0062-S,all,11275,13000,312,43,1725
03175,all,1676,13000,312,43,2268
UD11-0030-P,all,11275,13000,313,43,1725
02069,all,1676,13000,313,43,238
03039,all,11255,13000,314,0,1745
00042,all,1739,13000,314,0,26
UD11-0059-S,all,11254,13000,315,0,1746
01151,all,1740,13000,315,0,
UD11-0060-S,all,11253,13000,316,0,1747
UD31-0052-S,all,1741,13000,316,0,
00703,all,11250,13000,317,0,1792
04210,all,1744,13000,317,0,977
03040,all,11243,13000,318,1,1757
00146,all,1750,13000,318,1,1918
UC11-0010-P,all,11177,13000,319,0,1823
00522,all,1817,13000,319,0,1625
UC32-0024-S,all,11150,13000,320,0,1850
02116,all,1844,13000,320,0,12524
UC32-0232-P,all,11150,13000,321,0,1850
02113,all,1844,13000,321,0,2827
00337,all,11144,13000,322,0,45
00094,all,1850,13000,322,0,3124
UB11-0028-P,all,11027,13000,323,0,1973
03850,all,1967,13000,323,0,
00037,all,11025,13000,324,0,2014
00430,all,1969,13000,324,0,4314
UB11-0000-P,all,11014,13000,325,0,284
00642,all,1980,13000,325,0,695
UG32-1911-S,all,11000,13000,326,0,306
00268,all,1994,13000,326,0,2167
UG32-1910-S,all,10995,13000,327,0,311
00381,all,1999,13000,327,0,
UG32-1909-S,all,10995,13000,328,0,485
00045,all,1999,13000,328,0,825
UG32-0064-S,all,10995,13000,329,1,584
00407,all,1998,13000,329,1,33
UG32-0007-S,all,10995,13000,330,1,705
00371,all,1998,13000,330,1,5509
UB11-0001-P,all,10905,13000,331,0,2095
02133,all,2089,13000,331,0,8
UB11-0031-P,all,10901,13000,332,0,2099
03591,all,2093,13000,332,0,
01432,all,10900,13000,333,0,
00680,all,2094,13000,333,0,5529
01431,all,10900,13000,334,0,1
00679,all,2094,13000,334,0,3
01430,all,10900,13000,335,0,22
00375,all,2094,13000,335,0,1118
01441,all,10900,13000,336,0,1
00112,all,2094,13000,336,0,
01440,all,10900,13000,337,0,1949
00098,all,2094,13000,337,0,80
01439,all,10900,13000,338,0,1949
00091,all,2094,13000,338,0,25
00103,all,10875,13000,339,0,6822
02303,all,2119,13000,339,0,4303
00266,all,10869,13000,340,0,558
05740,all,2125,13000,340,0,4356
00022,all,10867,13000,341,0,
02301,all,2127,13000,341,0,3301
00015,all,10867,13000,342,2,105
00397,all,2125,13000,342,2,
00090,all,10866,13000,343,0,11
00100,all,2128,13000,343,0,6149
00009,all,10776,13000,344,0,3116
00096,all,2218,13000,344,0,1135
01024,all,10751,13000,345,0,8
00770,all,2243,13000,345,0,426
UB11-0014-P,all,10646,13000,346,0,2354
01213,all,2348,13000,346,0,
UB11-0036-S,all,10646,13000,347,0,2354
02608,all,2348,13000,347,0,
