ItemNumber,NestID,Length_mm,AssignedBeam_mm,BeamIndex,WasteOnBeam_mm,OldWaste_mm
00014,all,2378,13000,351,5,198
UB11-0040-S,all,10616,13000,352,3,2384
00789,all,2381,13000,352,3,
UB11-0021-P,all,10615,13000,353,3,2385
02694,all,2382,13000,353,3,3
UB12-0002-P,all,10608,13000,354,3,339
00065,all,2389,13000,354,3,3
UB12-0010-S,all,10608,13000,355,3,2392
02060,all,2389,13000,355,3,10
UD21-0047-S,all,10605,13000,356,3,2395
00119,all,2392,13000,356,3,
UD21-0067-P,all,10605,13000,357,3,2395
00199,all,2392,13000,357,3,
UB12-0003-P,all,10602,13000,358,3,2398
00194,all,2395,13000,358,3,12583
UB12-0011-S,all,10602,13000,359,3,2398
01133,all,2395,13000,359,3,4887
UD21-0034-S,all,10602,13000,360,4,2398
00015,all,2394,13000,360,4,105
UD21-0066-P,all,10602,13000,361,4,2398
00142,all,2394,13000,361,4,1000
UB12-0004-P,all,10594,13000,362,3,2406
00365,all,2403,13000,362,3,8
UB12-0012-S,all,10594,13000,363,3,2406
00371,all,2403,13000,363,3,5509
UF11-0005-P,all,10594,13000,364,3,2406
00406,all,2403,13000,364,3,83
