ItemNumber,NestID,Length_mm,AssignedBeam_mm,BeamIndex,WasteOnBeam_mm,OldWaste_mm
03999,9770,385,6000,13990,5612,2696
04546,9771,734,6000,13991,2978,629
04547,9771,734,6000,13991,2978,629
05219,9771,446,6000,13991,2978,629
05314,9771,446,6000,13991,2978,629
05330,9771,322,6000,13991,2978,629
05339,9771,322,6000,13991,2978,629
02069,9772,1676,6000,13992,3826,238
05454,9772,492,6000,13992,3826,238
05389,9773,492,6000,13993,5505,12508
05331,9774,323,6000,13994,5348,6082
05340,9774,323,6000,13994,5348,6082
04799,9775,1180,6000,13995,4817,1101
04098,9776,2898,6000,13996,198,204
04651,9776,2898,6000,13996,198,204
04785,9777,1180,6000,13997,2451,2460
04786,9777,1180,6000,13997,2451,2460
04798,9777,1180,6000,13997,2451,2460
02303,9778,1684,6000,13998,4313,4303
02295,9779,1684,6000,13999,4313,3371
05484,9780,364,6000,14000,5266,5272
05483,9780,364,6000,14000,5266,5272
04317,9781,2503,6000,14001,988,366
04318,9781,2503,6000,14001,988,
04316,9782,2149,6000,14002,282,7154
02592,9782,1780,6000,14002,282,291
02680,9782,1780,6000,14002,282,291
04315,9783,2149,6000,14003,282,4775
02576,9783,1780,6000,14003,282,291
02587,9783,1780,6000,14003,282,1095
04320,9784,5303,6000,14004,694,18
04319,9785,5303,6000,14005,694,4775
01829,9786,2149,6000,14006,1696,3813
02038,9786,2149,6000,14006,1696,1702
04863,9787,1124,6000,14007,311,
04879,9787,1122,6000,14007,311,
04806,9787,857,6000,14007,311,
04793,9787,856,6000,14007,311,
04801,9787,856,6000,14007,311,
04805,9787,856,6000,14007,311,
04807,9787,329,6000,14008,5668,
04862,9788,1139,6000,14009,286,
04790,9788,857,6000,14009,286,
04794,9788,857,6000,14009,286,
04802,9788,857,6000,14009,286,
04800,9788,519,6000,14009,286,
04804,9788,519,6000,14009,286,
04099,9788,313,6000,14009,286,
04100,9788,313,6000,14009,286,
04652,9788,313,6000,14009,286,1821
04653,9788,313,6000,14010,5684,
04878,9789,1137,6000,14011,1961,1982
04789,9789,856,6000,14011,1961,1982
04788,9789,519,6000,14011,1961,1982
04792,9789,519,6000,14011,1961,1982
04791,9789,329,6000,14011,1961,1982
04796,9789,329,6000,14011,1961,1982
04803,9789,329,6000,14011,1961,1982
02967,9790,624,6000,14012,4963,537
02873,9790,407,6000,14012,4963,1665
03213,9791,455,6000,14013,5542,2939
03414,9792,295,6000,14014,5702,963
04654,9793,2960,6000,14015,3037,97
